year,county,aggravated_assault,forcible_rape,murder_and_non_negligent_manslaughter,robbery,total_crimes
2005,Alameda,8914,1051,243,8729,18937
2005,Alpine,7,0,0,0,7
2005,Amador,166,32,0,14,212
2005,Butte,779,160,15,290,1244
2005,Calaveras,146,19,2,7,174
2005,Colusa,56,12,0,5,73
2005,Contra Costa,4414,354,149,3431,8348
2005,Del Norte,98,42,2,19,161
2005,El Dorado,534,31,7,67,639
2005,Fresno,6623,463,134,3045,10265
2005,Glenn,110,15,0,12,137
2005,Humboldt,382,96,4,175,657
2005,Imperial,1103,68,0,199,1370
2005,Inyo,88,9,1,11,109
2005,Kern,4153,276,110,1565,6104
2005,Kings,693,72,5,151,921
2005,Lake,283,13,1,21,318
2005,Lassen,122,16,3,5,146
2005,Los Angeles,66962,4520,1970,51090,124542
2005,Madera,888,68,14,207,1177
2005,Marin,483,92,6,246,827
2005,Mariposa,72,3,0,0,75
2005,Mendocino,509,38,4,68,619
2005,Merced,1888,136,37,459,2520
2005,Modoc,17,10,0,1,28
2005,Mono,78,17,0,8,103
2005,Monterey,2185,215,24,1083,3507
2005,Napa,766,60,1,87,914
2005,Nevada,322,29,2,41,394
2005,Orange,10427,864,153,5559,17003
2005,Placer,866,95,5,233,1199
2005,Plumas,29,5,0,3,37
2005,Riverside,9318,941,175,4529,14963
2005,Sacramento,8947,598,163,5393,15101
2005,San Benito,272,17,1,58,348
2005,San Bernardino,11168,1017,321,5797,18303
2005,San Diego,16719,1532,183,7591,26025
2005,San Francisco,5286,346,192,6175,11999
2005,San Joaquin,7137,334,100,3320,10891
2005,San Luis Obispo,956,134,6,165,1261
2005,San Mateo,2945,293,59,1384,4681
2005,San Barbara,2448,215,16,484,3163
2005,Santa Clara,6857,782,83,2590,10312
2005,Santa Cruz,1364,187,10,420,1981
2005,Shasta,1072,208,6,176,1462
2005,Sierra,7,0,0,0,7
2005,Siskiyou,167,36,5,12,220
2005,Solano,2279,272,57,1225,3833
2005,Sonoma,3346,289,7,521,4163
2005,Stanislaus,3672,229,46,1227,5174
2005,Sutter,369,44,6,109,528
2005,Tehama,662,29,4,47,742
2005,Trinity,24,6,1,5,36
2005,Tulare,4023,222,80,888,5213
2005,Tuolumne,147,17,3,23,190
2005,Ventura,2211,270,61,1430,3972
2005,Yolo,1097,129,7,286,1519
2005,Yuba,348,37,9,56,450
