year,county,aggravated_assault,forcible_rape,murder_and_non_negligent_manslaughter,robbery,total_crimes
2001,Alameda,9599,943,213,7442,18197
2001,Alpine,7,1,0,0,8
2001,Amador,144,24,0,5,173
2001,Butte,638,130,13,239,1020
2001,Calaveras,117,12,2,16,147
2001,Colusa,70,1,0,10,81
2001,Contra Costa,4869,374,84,2706,8033
2001,Del Norte,102,10,1,31,144
2001,El Dorado,675,62,8,66,811
2001,Fresno,7435,554,107,3212,11308
2001,Glenn,149,9,0,4,162
2001,Humboldt,561,84,12,179,836
2001,Imperial,1044,59,7,232,1342
2001,Inyo,71,2,0,6,79
2001,Kern,3078,263,65,1160,4566
2001,Kings,437,35,1,104,577
2001,Lake,248,22,2,31,303
2001,Lassen,99,16,0,7,122
2001,Los Angeles,105540,5334,2040,58476,171390
2001,Madera,831,65,23,281,1200
2001,Marin,628,104,4,220,956
2001,Mariposa,52,5,0,4,61
2001,Mendocino,582,51,5,54,692
2001,Merced,1755,113,8,316,2192
2001,Modoc,6,4,1,0,11
2001,Mono,29,6,0,16,51
2001,Monterey,2839,211,46,1195,4291
2001,Napa,474,67,2,100,643
2001,Nevada,158,36,6,21,221
2001,Orange,9690,880,124,6445,17139
2001,Placer,576,75,4,153,808
2001,Plumas,50,10,1,0,61
2001,Riverside,11947,785,160,3984,16876
2001,Sacramento,5953,659,119,4005,10736
2001,San Benito,352,25,12,66,455
2001,San Bernardino,11864,947,208,5746,18765
2001,San Diego,19268,1570,173,6599,27610
2001,San Francisco,5388,454,124,7647,13613
2001,San Joaquin,6382,439,82,2449,9352
2001,San Luis Obispo,926,160,9,122,1217
2001,San Mateo,2650,340,36,1324,4350
2001,Santa Barbara,1771,184,23,517,2495
2001,Santa Clara,12015,919,63,2214,15211
2001,Santa Cruz,1562,189,17,393,2161
2001,Shasta,923,176,10,155,1264
2001,Sierra,5,0,0,0,5
2001,Siskiyou,182,37,1,15,235
2001,Solano,2906,240,18,1292,4456
2001,Sonoma,1423,298,19,413,2153
2001,Stanislaus,3241,371,55,1166,4833
2001,Sutter,365,52,7,81,505
2001,Tehama,401,28,3,24,456
2001,Trinity,19,5,0,1,25
2001,Tulare,3497,189,42,618,4346
2001,Tuolumne,138,33,2,26,199
2001,Ventura,2159,240,35,1383,3817
2001,Yolo,929,116,7,290,1342
2001,Yuba,312,28,5,75,420
