year,county,aggravated_assault,forcible_rape,murder_and_non_negligent_manslaughter,robbery,total_crimes
2007,Alameda,11218,1020,300,11630,24168
2007,Alpine,13,1,1,0,15
2007,Amador,159,29,0,16,204
2007,Butte,1157,228,13,315,1713
2007,Calaveras,57,20,0,11,88
2007,Colusa,75,6,2,14,97
2007,Contra Costa,4502,349,182,4117,9150
2007,Del Norte,69,31,4,11,115
2007,El Dorado,556,58,5,86,705
2007,Fresno,5101,333,129,2704,8267
2007,Glenn,102,12,2,15,131
2007,Humboldt,590,84,5,145,824
2007,Imperial,750,46,8,179,983
2007,Inyo,155,2,0,8,165
2007,Kern,5053,270,72,1863,7258
2007,Kings,536,52,10,162,760
2007,Lake,242,29,7,31,309
2007,Lassen,135,19,0,18,172
2007,Los Angeles,59628,4334,1601,52832,118395
2007,Madera,906,49,9,218,1182
2007,Marin,770,101,1,278,1150
2007,Mariposa,24,6,0,1,31
2007,Mendocino,604,59,8,94,765
2007,Merced,1871,132,26,444,2473
2007,Modoc,25,2,2,0,29
2007,Mono,69,10,0,10,89
2007,Monterey,2666,225,49,1212,4152
2007,Napa,607,47,12,159,825
2007,Nevada,349,17,3,33,402
2007,Orange,9143,1000,154,6188,16485
2007,Placer,1010,124,6,302,1442
2007,Plumas,122,14,1,6,143
2007,Riverside,9586,930,175,5376,16067
2007,Sacramento,9039,714,141,6018,15912
2007,San Benito,318,24,9,94,445
2007,San Bernardino,11068,934,296,6753,19051
2007,San Diego,15608,1299,201,8465,25573
2007,San Francisco,4854,251,200,7575,12880
2007,San Joaquin,6631,300,78,3926,10935
2007,San Luis Obispo,1078,177,10,167,1432
2007,San Mateo,2353,278,23,1356,4010
2007,Santa Barbara,2191,270,18,599,3078
2007,Santa Clara,6862,700,89,3129,10780
2007,Santa Cruz,1553,136,8,516,2213
2007,Shasta,903,207,12,229,1351
2007,Sierra,15,0,0,0,15
2007,Siskiyou,217,40,5,20,282
2007,Solano,2950,234,60,1527,4771
2007,Sonoma,2642,261,14,500,3417
2007,Stanislaus,3815,241,42,1532,5630
2007,Sutter,440,54,4,116,614
2007,Tehama,501,29,2,28,560
2007,Trinity,14,0,2,5,21
2007,Tulare,2981,234,73,905,4193
2007,Tuolumne,104,15,1,18,138
2007,Ventura,2133,267,33,1616,4049
2007,Yolo,915,139,5,399,1458
2007,Yuba,434,37,0,97,568
