year,county,aggravated_assault,forcible_rape,murder_and_non_negligent_manslaughter,robbery,total_crimes
2002,Alameda,9237,908,290,8226,18661
2002,Alpine,8,1,0,0,9
2002,Amador,170,37,0,11,218
2002,Butte,614,120,8,266,1008
2002,Calaveras,197,14,2,6,219
2002,Colusa,69,8,0,3,80
2002,Contra Costa,4682,366,91,2825,7964
2002,Del Norte,117,7,3,17,144
2002,El Dorado,638,60,4,78,780
2002,Fresno,5558,473,111,3450,9592
2002,Glenn,105,2,0,18,125
2002,Humboldt,525,102,17,172,816
2002,Imperial,934,49,6,241,1230
2002,Inyo,88,18,0,11,117
2002,Kern,3210,310,76,1226,4822
2002,Kings,516,68,7,131,722
2002,Lake,281,37,7,32,357
2002,Lassen,119,18,0,9,146
2002,Los Angeles,103660,5511,2189,57913,169273
2002,Madera,940,68,12,235,1255
2002,Marin,423,75,8,246,752
2002,Mariposa,73,5,0,2,80
2002,Mendocino,616,71,5,64,756
2002,Merced,1817,125,25,345,2312
2002,Modoc,31,9,0,1,41
2002,Mono,41,5,0,12,58
2002,Monterey,2274,255,56,1084,3669
2002,Napa,502,48,2,92,644
2002,Nevada,237,25,3,30,295
2002,Orange,9756,901,154,5644,16455
2002,Placer,619,87,0,148,854
2002,Plumas,56,6,0,2,64
2002,Riverside,11337,848,181,3984,16350
2002,Sacramento,6209,713,130,4800,11852
2002,San Benito,201,36,2,61,300
2002,San Bernardino,11401,992,247,6105,18745
2002,San Diego,18632,1505,163,6434,26734
2002,San Francisco,5157,421,136,6445,12159
2002,San Joaquin,6427,383,103,2906,9819
2002,San Luis Obispo,869,164,5,145,1183
2002,San Mateo,2431,300,40,1300,4071
2002,Santa Barbara,1732,241,14,429,2416
2002,Santa Clara,8455,1058,72,2558,12143
2002,Santa Cruz,1325,188,10,437,1960
2002,Shasta,923,174,5,186,1288
2002,Sierra,8,2,0,0,10
2002,Siskiyou,138,25,6,14,183
2002,Solano,2788,249,31,1301,4369
2002,Sonoma,1610,316,26,531,2483
2002,Stanislaus,2658,289,22,1147,4116
2002,Sutter,346,63,11,75,495
2002,Tehama,367,27,3,32,429
2002,Trinity,21,5,0,3,29
2002,Tulare,3636,268,47,670,4621
2002,Tuolumne,118,15,2,18,153
2002,Ventura,2324,247,41,1248,3860
2002,Yolo,1159,116,9,332,1616
2002,Yuba,381,42,0,76,499
