year,county,aggravated_assault,forcible_rape,murder_and_non_negligent_manslaughter,robbery,total_crimes
2010,Alameda,9395,1025,256,9402,20078
2010,Alpine,7,3,0,0,10
2010,Amador,130,15,1,14,160
2010,Butte,921,163,10,286,1380
2010,Calaveras,75,12,1,16,104
2010,Colusa,56,7,0,11,74
2010,Contra Costa,4696,348,118,2972,8134
2010,Del Norte,85,35,3,16,139
2010,El Dorado,560,53,3,98,714
2010,Fresno,6098,329,116,2610,9153
2010,Glenn,89,10,1,30,130
2010,Humboldt,523,90,7,186,806
2010,Imperial,727,43,4,197,971
2010,Inyo,78,6,0,7,91
2010,Kern,5452,233,114,1979,7778
2010,Kings,711,49,5,158,923
2010,Lake,274,40,4,67,385
2010,Lassen,161,14,2,23,200
2010,Los Angeles,46569,3912,1146,41686,93313
2010,Madera,747,76,18,234,1075
2010,Marin,518,86,7,260,871
2010,Mariposa,30,5,0,2,37
2010,Mendocino,527,62,5,71,665
2010,Merced,1759,122,40,488,2409
2010,Modoc,14,8,0,0,22
2010,Mono,82,19,0,4,105
2010,Monterey,2522,143,77,1097,3839
2010,Napa,758,54,3,139,954
2010,Nevada,406,35,1,40,482
2010,Orange,7542,890,135,5164,13731
2010,Placer,871,102,4,288,1265
2010,Plumas,91,13,0,5,109
2010,Riverside,7207,682,153,4012,12054
2010,Sacramento,8326,620,125,5053,14124
2010,San Benito,283,22,2,65,372
2010,San Bernardino,9935,912,192,5253,16292
2010,San Diego,14000,1250,120,6408,21778
2010,San Francisco,4788,270,96,6401,11555
2010,San Joaquin,6281,307,118,3507,10213
2010,San Luis Obispo,809,145,6,167,1127
2010,San Mateo,1946,238,38,1132,3354
2010,San Barbara,2549,224,19,599,3391
2010,Santa Clara,5396,743,49,2840,9028
2010,Santa Cruz,1680,118,21,500,2319
2010,Shasta,1883,186,5,253,2327
2010,Sierra,19,0,0,0,19
2010,Siskiyou,217,22,1,17,257
2010,Solano,1784,277,64,1579,3704
2010,Sonoma,2428,215,12,507,3162
2010,Stanislaus,3216,236,47,1428,4927
2010,Sutter,402,52,7,114,575
2010,Tehama,464,41,1,51,557
2010,Trinity,27,4,0,3,34
2010,Tulare,2747,179,59,856,3841
2010,Tuolumne,92,25,1,27,145
2010,Ventura,1845,192,35,1223,3295
2010,Yolo,527,143,5,275,950
2010,Yuba,239,34,3,62,338
