year,county,aggravated_assault,forcible_rape,murder_and_non_negligent_manslaughter,robbery,total_crimes
2012,Alameda,9611,923,301,12092,22927
2012,Alpine,5,3,0,0,8
2012,Amador,160,7,0,18,185
2012,Butte,765,141,14,316,1236
2012,Calaveras,84,19,0,12,115
2012,Colusa,32,10,2,22,66
2012,Contra Costa,4773,312,101,3040,8226
2012,Del Norte,150,22,1,33,206
2012,El Dorado,514,38,3,92,647
2012,Fresno,6180,319,137,2671,9307
2012,Glenn,115,3,0,13,131
2012,Humboldt,362,66,2,229,659
2012,Imperial,595,34,6,210,845
2012,Inyo,91,4,0,4,99
2012,Kern,5261,263,108,2136,7768
2012,Kings,1053,96,7,193,1349
2012,Lake,414,54,5,89,562
2012,Lassen,193,13,2,20,228
2012,Los Angeles,42009,3769,1124,35941,82843
2012,Madera,1196,56,4,259,1515
2012,Marin,473,51,0,270,794
2012,Mariposa,64,2,3,2,71
2012,Mendocino,422,36,7,67,532
2012,Merced,2374,93,38,617,3122
2012,Modoc,81,16,2,6,105
2012,Mono,57,7,0,18,82
2012,Monterey,1928,169,83,1349,3529
2012,Napa,575,56,4,137,772
2012,Nevada,281,30,1,30,342
2012,Orange,8067,788,106,4277,13238
2012,Placer,747,76,4,253,1080
2012,Plumas,92,15,0,1,108
2012,Riverside,7552,605,131,4344,12632
2012,Sacramento,8093,578,126,4109,12906
2012,San Benito,291,27,2,59,379
2012,San Bernardino,10247,773,191,5595,16806
2012,San Diego,14342,1285,197,6139,21963
2012,San Francisco,4257,218,138,7038,11651
2012,San Joaquin,7371,276,166,3786,11599
2012,San Luis Obispo,1192,127,8,130,1457
2012,San Mateo,2037,191,20,956,3204
2012,Santa Barbara,2159,245,9,590,3003
2012,Santa Clara,5481,775,108,3223,9587
2012,Santa Cruz,1236,131,15,407,1789
2012,Shasta,1604,169,10,307,2090
2012,Sierra,17,0,0,0,17
2012,Siskiyou,137,22,8,30,197
2012,Solano,2024,227,55,1304,3610
2012,Sonoma,2267,267,8,425,2967
2012,Stanislaus,3562,244,63,1458,5327
2012,Sutter,420,48,9,88,565
2012,Tehama,421,29,3,64,517
2012,Trinity,13,3,4,1,21
2012,Tulare,2712,200,52,796,3760
2012,Tuolumne,86,18,0,21,125
2012,Ventura,1734,185,37,1214,3170
2012,Yolo,584,127,0,313,1024
2012,Yuba,274,37,6,58,375
