year,county,aggravated_assault,forcible_rape,murder_and_non_negligent_manslaughter,robbery,total_crimes
2013,Alameda,8439,693,219,13270,22621
2013,Alpine,6,0,0,0,6
2013,Amador,28,9,0,13,50
2013,Butte,726,145,19,277,1167
2013,Calaveras,100,22,5,1,128
2013,Colusa,36,11,0,11,58
2013,Contra Costa,4176,265,77,1383,5901
2013,Del Norte,200,27,0,42,269
2013,El Dorado,451,48,8,62,569
2013,Fresno,6059,316,103,2335,8813
2013,Glenn,156,19,0,20,195
2013,Humboldt,487,73,13,216,789
2013,Imperial,595,44,3,193,835
2013,Inyo,87,7,0,9,103
2013,Kern,5265,249,99,2161,7774
2013,Kings,973,57,8,230,1268
2013,Lake,370,46,6,73,495
2013,Lassen,171,13,4,22,210
2013,Los Angeles,38525,3292,1014,31779,74610
2013,Madera,1310,90,20,246,1666
2013,Marin,483,79,2,236,800
2013,Mariposa,77,6,0,1,84
2013,Mendocino,569,41,4,57,671
2013,Merced,1959,141,37,426,2563
2013,Modoc,73,16,3,5,97
2013,Mono,37,0,0,10,47
2013,Monterey,1881,152,82,1263,3378
2013,Napa,507,68,4,162,741
2013,Nevada,533,23,2,34,592
2013,Orange,6953,836,105,4025,11919
2013,Placer,759,80,3,215,1057
2013,Plumas,77,12,1,2,92
2013,Riverside,6541,627,161,3932,11261
2013,Sacramento,7377,452,126,4008,11963
2013,San Benito,340,35,8,57,440
2013,San Bernardino,9575,773,231,5056,15635
2013,San Diego,13500,1250,136,5881,20767
2013,San Francisco,5328,324,96,8480,14228
2013,San Joaquin,6153,250,80,2795,9278
2013,San Luis Obispo,1213,180,8,152,1553
2013,San Mateo,2008,251,22,946,3227
2013,Santa Barbara,1745,253,11,535,2544
2013,Santa Clara,5005,771,102,2950,8828
2013,Santa Cruz,1180,135,19,361,1695
2013,Shasta,1306,141,12,339,1798
2013,Sierra,7,0,0,0,7
2013,Siskiyou,189,22,2,19,232
2013,Solano,2248,150,61,1421,3880
2013,Sonoma,2250,218,13,432,2913
2013,Stanislaus,3404,232,53,1374,5063
2013,Sutter,292,37,6,83,418
2013,Tehama,463,25,7,49,544
2013,Trinity,23,1,1,5,30
2013,Tulare,2702,160,74,810,3746
2013,Tuolumne,86,10,0,20,116
2013,Ventura,1717,156,65,1190,3128
2013,Yolo,741,134,12,343,1230
2013,Yuba,256,42,3,58,359
