year,county,aggravated_assault,forcible_rape,murder_and_non_negligent_manslaughter,robbery,total_crimes
2003,Alameda,9807,995,270,8476,19548
2003,Alpine,3,0,0,0,3
2003,Amador,129,44,0,8,181
2003,Butte,843,166,14,217,1240
2003,Calaveras,205,18,2,12,237
2003,Colusa,65,15,0,8,88
2003,Contra Costa,4406,346,139,2860,7751
2003,Del Norte,123,20,0,16,159
2003,El Dorado,563,64,2,99,728
2003,Fresno,5873,480,111,2869,9333
2003,Glenn,106,17,2,13,138
2003,Humboldt,410,87,9,170,676
2003,Imperial,1007,35,16,263,1321
2003,Inyo,41,4,2,13,60
2003,Kern,4025,287,77,1285,5674
2003,Kings,520,63,7,148,738
2003,Lake,375,19,2,45,441
2003,Lassen,137,19,0,5,161
2003,Los Angeles,98112,4926,1963,55946,160947
2003,Madera,979,83,9,319,1390
2003,Marin,562,83,0,219,864
2003,Mariposa,74,5,0,5,84
2003,Mendocino,582,62,12,49,705
2003,Merced,2059,132,25,521,2737
2003,Modoc,28,4,0,2,34
2003,Mono,59,7,2,4,72
2003,Monterey,2338,232,49,1256,3875
2003,Napa,538,68,2,101,709
2003,Nevada,307,42,2,47,398
2003,Orange,10027,994,126,5296,16443
2003,Placer,695,95,18,192,1000
2003,Plumas,43,5,2,1,51
2003,Riverside,10754,917,161,3775,15607
2003,Sacramento,5892,716,128,4608,11344
2003,San Benito,368,25,4,50,447
2003,San Bernardino,11429,994,294,6288,19005
2003,San Diego,18291,1620,243,6514,26668
2003,San Francisco,4764,435,138,6152,11489
2003,San Joaquin,6241,400,101,2918,9660
2003,San Luis Obispo,823,135,13,112,1083
2003,San Mateo,2506,326,38,1249,4119
2003,Santa Barbara,1491,185,3,319,1998
2003,Santa Clara,6898,864,95,2404,10261
2003,Santa Cruz,1507,179,21,495,2202
2003,Shasta,820,194,8,207,1229
2003,Sierra,14,1,1,0,16
2003,Siskiyou,155,29,2,17,203
2003,Solano,2729,250,40,1270,4289
2003,Sonoma,2532,310,15,431,3288
2003,Stanislaus,3681,299,48,1266,5294
2003,Sutter,361,65,3,98,527
2003,Tehama,465,33,2,24,524
2003,Trinity,42,6,1,4,53
2003,Tulare,3692,239,50,748,4729
2003,Tuolumne,202,17,4,27,250
2003,Ventura,2274,243,75,1269,3861
2003,Yolo,1510,150,11,346,2017
2003,Yuba,331,45,7,86,469
