year,county,aggravated_assault,forcible_rape,murder_and_non_negligent_manslaughter,robbery,total_crimes
2004,Alameda,8954,910,229,7531,17624
2004,Alpine,8,3,0,0,11
2004,Amador,153,31,2,11,197
2004,Butte,923,168,10,235,1336
2004,Calaveras,121,13,3,11,148
2004,Colusa,85,3,,10,98
2004,Contra Costa,4208,375,140,2758,7481
2004,Del Norte,174,28,1,16,219
2004,El Dorado,478,71,2,93,644
2004,Fresno,5899,497,128,2931,9455
2004,Glenn,117,5,,10,132
2004,Humboldt,416,83,9,188,696
2004,Imperial,938,58,8,236,1240
2004,Inyo,54,7,,8,69
2004,Kern,5029,302,84,1540,6955
2004,Kings,587,71,10,135,803
2004,Lake,337,22,1,35,395
2004,Lassen,146,12,,6,164
2004,Los Angeles,87861,4713,1906,50988,145468
2004,Madera,773,59,12,293,1137
2004,Marin,514,80,6,211,811
2004,Mariposa,74,7,1,0,82
2004,Mendocino,524,40,6,47,617
2004,Merced,2157,134,29,427,2747
2004,Modoc,17,3,0,2,22
2004,Mono,61,13,0,5,79
2004,Monterey,2268,240,58,1356,3922
2004,Napa,614,88,6,111,819
2004,Nevada,285,32,2,34,353
2004,Orange,10292,1039,161,5086,16578
2004,Placer,807,72,5,209,1093
2004,Plumas,43,7,2,4,56
2004,Riverside,9669,809,153,4131,14762
2004,Sacramento,7965,655,142,5275,14037
2004,San Benito,318,43,0,61,422
2004,San Bernardino,10781,1021,296,6365,18463
2004,San Diego,17580,1486,238,6883,26187
2004,San Francisco,4958,306,176,6099,11539
2004,San Joaquin,6448,347,100,2939,9834
2004,San Luis Obispo,1004,167,4,142,1317
2004,San Mateo,2488,297,50,1327,4162
2004,Santa Barbara,2558,226,11,613,3408
2004,Santa Clara,6609,865,70,2289,9833
2004,Santa Cruz,1448,217,8,383,2056
2004,Shasta,1076,189,7,176,1448
2004,Sierra,13,0,0,0,13
2004,Siskiyou,221,19,1,12,253
2004,Solano,2591,235,34,1029,3889
2004,Sonoma,2905,367,24,504,3800
2004,Stanislaus,3256,269,69,1270,4864
2004,Sutter,388,59,6,96,549
2004,Tehama,578,58,3,35,674
2004,Trinity,48,4,1,4,57
2004,Tulare,3770,192,45,894,4901
2004,Tuolumne,182,8,2,17,209
2004,Ventura,2138,194,61,1225,3618
2004,Yolo,1549,162,9,327,2047
2004,Yuba,371,43,6,74,494
