year,county,aggravated_assault,forcible_rape,murder_and_non_negligent_manslaughter,robbery,total_crimes
2006,Alameda,11107,995,341,11583,24026
2006,Alpine,11,2,0,0,13
2006,Amador,137,44,3,15,199
2006,Butte,916,206,16,264,1402
2006,Calaveras,40,12,1,14,67
2006,Colusa,95,11,0,13,119
2006,Contra Costa,4407,385,173,3939,8904
2006,Del Norte,83,27,0,24,134
2006,El Dorado,677,57,5,79,818
2006,Fresno,5546,393,138,3084,9161
2006,Glenn,114,12,1,13,140
2006,Humboldt,432,87,9,168,696
2006,Imperial,881,31,4,271,1187
2006,Inyo,83,4,0,2,89
2006,Kern,4330,290,98,1740,6458
2006,Kings,720,49,7,152,928
2006,Lake,362,20,10,35,427
2006,Lassen,116,15,2,10,143
2006,Los Angeles,62708,4448,1889,53062,122107
2006,Madera,919,89,2,228,1238
2006,Marin,652,77,5,316,1050
2006,Mariposa,41,6,1,1,49
2006,Mendocino,498,64,7,65,634
2006,Merced,2034,126,38,532,2730
2006,Modoc,48,12,0,5,65
2006,Mono,49,15,0,2,66
2006,Monterey,2408,213,24,1138,3783
2006,Napa,618,63,3,165,849
2006,Nevada,381,27,2,33,443
2006,Orange,9409,948,156,6227,16740
2006,Placer,901,120,10,358,1389
2006,Plumas,32,3,0,1,36
2006,Riverside,9668,918,182,5673,16441
2006,Sacramento,9899,757,163,6612,17431
2006,San Benito,216,14,4,60,294
2006,San Bernardino,10583,967,286,6795,18631
2006,San Diego,15675,1453,232,8328,25688
2006,San Francisco,4893,308,172,7765,13138
2006,San Joaquin,7000,300,97,3633,11030
2006,San Luis Obispo,880,129,11,170,1190
2006,San Mateo,2441,286,41,1383,4151
2006,Santa Barbara,2463,231,26,578,3298
2006,Santa Clara,6755,639,72,2988,10454
2006,Santa Cruz,1252,156,25,427,1860
2006,Shasta,735,169,10,157,1071
2006,Sierra,7,2,0,1,10
2006,Siskiyou,217,24,0,17,258
2006,Solano,2951,250,28,1686,4915
2006,Sonoma,2855,302,20,551,3728
2006,Stanislaus,3505,272,48,1436,5261
2006,Sutter,493,51,6,114,664
2006,Tehama,597,11,8,40,656
2006,Trinity,15,4,0,4,23
2006,Tulare,3410,247,87,926,4670
2006,Tuolumne,123,20,0,18,161
2006,Ventura,2360,242,52,1575,4229
2006,Yolo,1139,108,6,340,1593
2006,Yuba,323,46,3,103,475
